code,date,stageCode,index,artistCode,start,end,,,,,,,,,
1,1228,1,1,144,1300,1345,,,,,,,,,
2,1228,1,2,161,1415,1500,,,,,,,,,
3,1228,1,3,119,1530,1615,,,,,,,,,
4,1228,1,4,37,1645,1730,,,,,,,,,
5,1228,1,5,169,1800,1845,,,,,,,,,
6,1228,1,6,36,1915,2000,,,,,,,,,
7,1228,1,7,153,2030,2130,,,,,,,,,
8,1228,2,1,54,1300,1340,,,,,,,,,
9,1228,2,2,11,1405,1445,,,,,,,,,
10,1228,2,3,126,1510,1550,,,,,,,,,
11,1228,2,4,154,1615,1655,,,,,,,,,
12,1228,2,5,155,1720,1800,,,,,,,,,
13,1228,2,6,91,1825,1905,,,,,,,,,
14,1228,2,7,45,1930,2010,,,,,,,,,
15,1228,2,8,106,2035,2125,,,,,,,,,
16,1228,3,1,31,1330,1400,,,,,,,,,
17,1228,3,2,160,1430,1500,,,,,,,,,
18,1228,3,3,12,1530,1600,,,,,,,,,
19,1228,3,4,73,1630,1700,,,,,,,,,
20,1228,3,5,92,1730,1800,,,,,,,,,
21,1228,3,6,62,1830,1900,,,,,,,,,
22,1228,3,7,173,1930,2000,,,,,,,,,
23,1228,3,8,42,2030,2110,,,,,,,,,
24,1228,4,1,168,1300,1330,,,,,,,,,
25,1228,4,2,127,1400,1430,,,,,,,,,
26,1228,4,3,1,1500,1530,,,,,,,,,
27,1228,4,4,43,1600,1630,,,,,,,,,
28,1228,4,5,97,1700,1730,,,,,,,,,
29,1228,4,6,58,1800,1830,,,,,,,,,
30,1228,4,7,24,1900,1930,,,,,,,,,
31,1228,4,8,104,2000,2040,,,,,,,,,
32,1228,5,1,26,1300,1400,,,,,,,,,
33,1228,5,2,88,1425,1455,,,,,,,,,
34,1228,5,3,7,1520,1550,,,,,,,,,
35,1228,5,4,30,1615,1645,,,,,,,,,
36,1228,5,5,150,1710,1740,,,,,,,,,
37,1228,5,6,87,1805,1835,,,,,,,,,
38,1228,5,7,132,1850,1950,,,,,,,,,
39,1228,5,8,29,1955,2040,,,,,,,,,
40,1228,5,9,26,2040,2130,,,,,,,,,
41,1229,1,1,25,1300,1345,,,,,,,,,
42,1229,1,2,28,1415,1500,,,,,,,,,
43,1229,1,3,130,1530,1615,,,,,,,,,
44,1229,1,4,9,1645,1730,,,,,,,,,
45,1229,1,5,48,1800,1845,,,,,,,,,
46,1229,1,6,156,1915,2000,,,,,,,,,
47,1229,1,7,19,2030,2130,,,,,,,,,
48,1229,2,1,53,1300,1340,,,,,,,,,
49,1229,2,2,105,1405,1445,,,,,,,,,
50,1229,2,3,56,1510,1550,,,,,,,,,
51,1229,2,4,107,1615,1655,,,,,,,,,
52,1229,2,5,33,1720,1800,,,,,,,,,
53,1229,2,6,112,1825,1905,,,,,,,,,
54,1229,2,7,65,1930,2010,,,,,,,,,
55,1229,2,8,4,2035,2125,,,,,,,,,
56,1229,3,1,68,1330,1400,,,,,,,,,
57,1229,3,2,61,1430,1500,,,,,,,,,
58,1229,3,3,167,1530,1600,,,,,,,,,
59,1229,3,4,115,1630,1700,,,,,,,,,
60,1229,3,5,52,1730,1800,,,,,,,,,
61,1229,3,6,148,1830,1900,,,,,,,,,
62,1229,3,7,2,1930,2000,,,,,,,,,
63,1229,3,8,21,2030,2110,,,,,,,,,
64,1229,4,1,136,1300,1330,,,,,,,,,
65,1229,4,2,39,1400,1430,,,,,,,,,
66,1229,4,3,117,1500,1530,,,,,,,,,
67,1229,4,4,83,1600,1630,,,,,,,,,
68,1229,4,5,157,1700,1730,,,,,,,,,
69,1229,4,6,149,1800,1830,,,,,,,,,
70,1229,4,7,172,1900,1930,,,,,,,,,
71,1229,4,8,124,2000,2040,,,,,,,,,
72,1229,5,1,120,1200,1240,,,,,,,,,
73,1229,5,2,13,1240,1330,,,,,,,,,
74,1229,5,3,44,1355,1425,,,,,,,,,
75,1229,5,4,500,1445,1620,,,,,,,,,
76,1229,5,5,129,1645,1715,,,,,,,,,
77,1229,5,6,121,1740,1810,,,,,,,,,
78,1229,5,7,81,1835,1905,,,,,,,,,
79,1229,5,8,166,1915,2005,,,,,,,,,
80,1229,5,9,32,2005,2100,,,,,,,,,
81,1229,5,10,120,2100,2130,,,,,,,,,
82,1230,1,1,40,1300,1345,,,,,,,,,
83,1230,1,2,50,1415,1500,,,,,,,,,
84,1230,1,3,99,1530,1615,,,,,,,,,
85,1230,1,4,109,1645,1730,,,,,,,,,
86,1230,1,5,101,1800,1845,,,,,,,,,
87,1230,1,6,176,1915,2000,,,,,,,,,
88,1230,1,7,125,2030,2130,,,,,,,,,
89,1230,2,1,79,1300,1340,,,,,,,,,
90,1230,2,2,8,1405,1445,,,,,,,,,
91,1230,2,3,174,1510,1550,,,,,,,,,
92,1230,2,4,100,1615,1655,,,,,,,,,
93,1230,2,5,164,1720,1800,,,,,,,,,
94,1230,2,6,118,1825,1905,,,,,,,,,
95,1230,2,7,38,1930,2010,,,,,,,,,
96,1230,2,8,128,2035,2125,,,,,,,,,
97,1230,3,1,10,1330,1400,,,,,,,,,
98,1230,3,2,98,1430,1500,,,,,,,,,
99,1230,3,3,23,1530,1600,,,,,,,,,
100,1230,3,4,35,1630,1700,,,,,,,,,
101,1230,3,5,63,1730,1800,,,,,,,,,
102,1230,3,6,175,1830,1900,,,,,,,,,
103,1230,3,7,122,1930,2000,,,,,,,,,
104,1230,3,8,77,2030,2110,,,,,,,,,
105,1230,4,1,94,1300,1330,,,,,,,,,
106,1230,4,2,15,1400,1430,,,,,,,,,
107,1230,4,3,116,1500,1530,,,,,,,,,
108,1230,4,4,60,1600,1630,,,,,,,,,
109,1230,4,5,162,1700,1730,,,,,,,,,
110,1230,4,6,72,1800,1830,,,,,,,,,
111,1230,4,7,20,1900,1930,,,,,,,,,
112,1230,4,8,14,2000,2040,,,,,,,,,
113,1230,5,1,76,1200,1240,,,,,,,,,
114,1230,5,2,147,1305,1335,,,,,,,,,
115,1230,5,3,133,1400,1430,,,,,,,,,
116,1230,5,4,80,1455,1525,,,,,,,,,
117,1230,5,5,27,1550,1620,,,,,,,,,
118,1230,5,6,113,1645,1715,,,,,,,,,
119,1230,5,7,95,1740,1810,,,,,,,,,
120,1230,5,8,93,1825,1910,,,,,,,,,
121,1230,5,9,89,1910,2005,,,,,,,,,
122,1230,5,10,135,2005,2100,,,,,,,,,
123,1230,5,11,76,2100,2130,,,,,,,,,
124,1231,1,1,49,1515,1600,,,,,,,,,
125,1231,1,2,78,1635,1720,,,,,,,,,
126,1231,1,3,151,1755,1840,,,,,,,,,
127,1231,1,4,82,1915,2000,,,,,,,,,
128,1231,1,5,84,2035,2120,,,,,,,,,
129,1231,1,6,114,2200,2245,,,,,,,,,
130,1231,1,7,51,2325,2425,,,,,,,,,
131,1231,1,8,66,2500,2600,,,,,,,,,
132,1231,2,1,85,1500,1540,,,,,,,,,
133,1231,2,2,6,1610,1650,,,,,,,,,
134,1231,2,3,111,1720,1800,,,,,,,,,
135,1231,2,4,110,1830,1910,,,,,,,,,
136,1231,2,5,152,1940,2020,,,,,,,,,
137,1231,2,6,5,2050,2130,,,,,,,,,
138,1231,2,7,108,2200,2240,,,,,,,,,
139,1231,2,8,139,2320,2410,,,,,,,,,
140,1231,2,9,159,2440,2520,,,,,,,,,
141,1231,2,10,141,2550,2630,,,,,,,,,
142,1231,2,11,134,2700,2740,,,,,,,,,
143,1231,2,12,138,2810,2900,,,,,,,,,
144,1231,3,1,123,1545,1615,,,,,,,,,
145,1231,3,2,69,1645,1715,,,,,,,,,
146,1231,3,3,137,1745,1815,,,,,,,,,
147,1231,3,4,18,1845,1915,,,,,,,,,
148,1231,3,5,70,1945,2015,,,,,,,,,
149,1231,3,6,143,2045,2115,,,,,,,,,
150,1231,3,7,142,2145,2215,,,,,,,,,
151,1231,3,8,140,2245,2315,,,,,,,,,
152,1231,3,9,59,2345,2430,,,,,,,,,
153,1231,3,10,74,2515,2545,,,,,,,,,
154,1231,3,11,131,2615,2645,,,,,,,,,
155,1231,3,12,90,2715,2745,,,,,,,,,
156,1231,3,13,75,2815,2855,,,,,,,,,
157,1231,4,1,47,1515,1545,,,,,,,,,
158,1231,4,2,55,1615,1645,,,,,,,,,
159,1231,4,3,3,1715,1745,,,,,,,,,
160,1231,4,4,16,1815,1845,,,,,,,,,
161,1231,4,5,145,1915,1945,,,,,,,,,
162,1231,4,6,64,2015,2045,,,,,,,,,
163,1231,4,7,67,2115,2145,,,,,,,,,
164,1231,4,8,57,2215,2245,,,,,,,,,
165,1231,4,9,146,2330,2415,,,,,,,,,
166,1231,4,10,86,2445,2515,,,,,,,,,
167,1231,4,11,46,2545,2615,,,,,,,,,
168,1231,4,12,171,2645,2715,,,,,,,,,
169,1231,4,13,34,2745,2825,,,,,,,,,
170,1231,5,1,26,1400,1435,,,,,,,,,
171,1231,5,2,17,1500,1530,,,,,,,,,
172,1231,5,3,102,1545,1720,,,,,,,,,
173,1231,5,4,170,1745,1815,,,,,,,,,
174,1231,5,5,41,1840,1910,,,,,,,,,
175,1231,5,6,165,1935,2005,,,,,,,,,
176,1231,5,7,163,2030,2100,,,,,,,,,
177,1231,5,8,501,2120,2255,,,,,,,,,
178,1231,5,9,103,2305,2450,,,,,,,,,
179,1231,5,10,158,2505,2545,,,,,,,,,
180,1231,5,11,71,2545,2625,,,,,,,,,
181,1231,5,12,96,2625,2705,,,,,,,,,
182,1231,5,13,22,2705,2745,,,,,,,,,
183,1231,5,14,26,2745,2900,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,